time      UID       PID  minflt.s  majflt.s     VSZ     RSS   MEM  Command
14:51:53     1002    497190  22673.95      0.00 38383772 38144628  14.47  raven
14:53:53     1002    497190 153678.29      0.00 91550332 90085148  34.17  raven
14:55:53     1002    497190  85225.55      0.00 109905036 108313348  41.09  raven
14:57:53     1002    497190  77520.92      0.00 109741188 108390236  41.11  raven
14:59:53     1002    497190 116330.26      0.00 109860428 109456748  41.52  raven
15:01:53     1002    497190 116943.59      0.00 110003284 109386648  41.49  raven
15:03:53     1002    497190  80604.04      0.00 110302028 109838000  41.66  raven
15:05:53     1002    497190 158641.32      0.00 110574184 110051816  41.74  raven
15:07:53     1002    497190  90635.81      0.00 110695244 110032848  41.74  raven
15:09:53     1002    497190 120806.85      0.00 113322032 112357128  42.62  raven
15:11:53     1002    497190 156012.07      0.00 113802636 112875248  42.82  raven
15:13:53     1002    497190 113246.32      0.00 113346792 112641884  42.73  raven
15:15:53     1002    497190  57506.73      0.00 113379548 112983784  42.86  raven
15:17:53     1002    497190 149672.82      0.00 113346776 113039732  42.88  raven
15:19:53     1002    497190 149615.94      0.00 113814456 113257592  42.96  raven
15:21:53     1002    497190  92476.38      0.00 114395352 113544616  43.07  raven
15:23:53     1002    497190 100221.12      0.00 115399372 114576124  43.46  raven
15:25:53     1002    497190 156961.52      0.00 114919644 114274744  43.35  raven
15:27:53     1002    497190 160416.41      0.00 114901136 114495692  43.43  raven
15:29:53     1002    497190 152618.92      0.00 115109732 114684112  43.50  raven
15:31:53     1002    497190  51113.38      0.00 121274500 119275112  45.24  raven
15:33:53     1002    497190 141519.17      0.00 115378392 114744540  43.52  raven
15:35:53     1002    497190 150998.46      0.00 115443928 114992004  43.62  raven
15:37:53     1002    497190 117086.84      0.00 115575004 115258836  43.72  raven
15:39:53     1002    497190 151183.30      0.00 115443928 115194924  43.70  raven
15:41:53     1002    497190  51290.55      0.00 118953000 117864260  44.71  raven
15:43:53     1002    497190 161568.81      0.00 119215144 118220596  44.84  raven
15:45:53     1002    497190 167800.89      0.00 119477288 118585320  44.98  raven
15:47:53     1002    497190 132405.77      0.00 119477288 118746832  45.04  raven
15:49:53     1002    497190 169392.02      0.00 119858104 119035544  45.15  raven
15:51:53     1002    497190 119304.34      0.00 120525864 119258560  45.24  raven
15:53:53     1002    497190  87956.86      0.00 120455640 119833352  45.46  raven
15:55:53     1002    497190 142643.54      0.00 120521176 120078960  45.55  raven
15:57:53     1002    497190 148723.72      0.00 120737580 120366596  45.66  raven
15:59:53     1002    497190 139674.63      0.00 121706760 121123160  45.94  raven
16:01:53     1002    497190 144859.12      0.00 122284920 121571228  46.11  raven
16:03:53     1002    497190 139245.65      0.00 121569752 121156720  45.96  raven
16:05:53     1002    497190  59272.53      0.00 125502484 124188800  47.11  raven
16:07:53     1002    497190 154023.58      0.00 125713488 124634728  47.28  raven
16:09:53     1002    497190 164953.82      0.00 125306112 124200104  47.11  raven
16:11:53     1002    497190 139695.02      0.00 125531640 124475240  47.22  raven
16:13:53     1002    497190 152345.51      0.00 126337168 125336600  47.54  raven
16:15:53     1002    497190 152295.10      0.00 126088712 124922828  47.39  raven
16:17:53     1002    497190 123342.74      0.00 126580216 125160724  47.48  raven
16:19:53     1002    497190  79390.28      0.00 126907876 126044672  47.81  raven
16:21:53     1002    497190 143488.49      0.00 126806360 126303368  47.91  raven
16:23:53     1002    497190 143277.59      0.00 127265484 126593432  48.02  raven
16:25:53     1002    497190 137767.65      0.00 127632336 126919216  48.14  raven
16:27:53     1002    497190 140749.35      0.00 128153060 127346588  48.31  raven
16:29:53     1002    497190 148260.43      0.00 127919328 127429096  48.34  raven
16:31:53     1002    497190 146067.51      0.00 127759832 127333520  48.30  raven
16:33:53     1002    497190  39832.57      0.00 129052624 128106764  48.59  raven
16:35:53     1002    497190 138519.45      0.00 128193384 127750440  48.46  raven
16:39:11     1002    497190 141884.32      0.00 128733584 128322052  48.68  raven
16:41:11     1002    497190 144363.83      0.00 129070556 128623656  48.79  raven
16:43:11     1002    497190 131566.12      0.00 130044416 129542972  49.14  raven
16:45:11     1002    497190 158629.52      0.00 129332696 128957828  48.92  raven
16:47:11     1002    497190 144325.67      0.00 129725916 129315488  49.05  raven
16:49:11     1002    497190  59841.13      0.00 129856984 129356336  49.07  raven
16:51:11     1002    497190 117193.61      0.00 130512352 129873588  49.26  raven
16:53:11     1002    497190 150180.20      0.00 130714316 130171156  49.38  raven
16:55:11     1002    497190 140639.51      0.00 130708956 130253472  49.41  raven
16:57:11     1002    497190 143758.07      0.00 132004808 131372952  49.83  raven
16:59:11     1002    497190 129323.35      0.00 130840024 130464944  49.49  raven
17:01:11     1002    497190 147015.95      0.00 131297400 130846692  49.63  raven
17:03:11     1002    497190 146217.36      0.00 131233240 130839612  49.63  raven
17:05:11     1002    497190 135870.27      0.00 131495384 131070176  49.72  raven
17:07:11     1002    497190  48590.60      0.00 131823068 131348840  49.82  raven
17:09:11     1002    497190 134102.74      0.00 131888608 131428516  49.85  raven
17:11:11     1002    497190 141801.12      0.00 132184404 131760868  49.98  raven
17:13:11     1002    497190 116899.04      0.00 132150744 131750504  49.98  raven
17:15:11     1002    497190 136048.96      0.00 132412888 131960696  50.06  raven
17:17:11     1002    497190 147109.77      0.00 132543960 132189132  50.14  raven
17:19:11     1002    497190 140331.47      0.00 133428712 132840400  50.39  raven
17:21:11     1002    497190 125968.72      0.00 133208516 132773948  50.36  raven
17:23:11     1002    497190 124799.05      0.00 133363164 132890432  50.41  raven
17:25:11     1002    497190  42206.62      0.00 133723612 133182340  50.52  raven
17:27:11     1002    497190 139448.38      0.00 133592540 133171852  50.51  raven
17:29:11     1002    497190 149848.57      0.00 133940752 133529928  50.65  raven
17:31:11     1002    497190 128341.40      0.00 133789144 133466444  50.63  raven
17:33:11     1002    497190 139207.38      0.00 133920216 133609120  50.68  raven
17:35:11     1002    497190 154550.63      0.00 135075080 134379168  50.97  raven
17:37:11     1002    497190 153222.77      0.00 134887760 134456808  51.00  raven
17:39:11     1002    497190 133417.02      0.00 135175108 134638572  51.07  raven
17:41:11     1002    497190 130563.73      0.00 135197948 134800608  51.13  raven
17:43:11     1002    497190  70315.25      0.00 135296472 134637404  51.07  raven
17:45:11     1002    497190  99118.78      0.00 135165400 134752536  51.11  raven
17:47:11     1002    497190 140232.52      0.00 135437848 135080884  51.24  raven
17:49:11     1002    497190 127388.63      0.00 135362008 134986432  51.20  raven
17:51:11     1002    497190 131914.53      0.00 136050152 135420884  51.37  raven
17:53:11     1002    497190 126984.93      0.00 136082908 135590048  51.43  raven
17:55:11     1002    497190 149360.26      0.00 136386568 136000368  51.59  raven
17:57:11     1002    497190 124988.37      0.00 136279520 135947808  51.57  raven
17:59:11     1002    497190 132742.34      0.00 136901860 136387168  51.73  raven
18:01:11     1002    497190 116589.42      0.00 136476120 136058712  51.61  raven
18:03:11     1002    497190  72651.42      0.00 137065944 136250972  51.68  raven
18:05:11     1002    497190  89770.22      0.00 136902108 136422008  51.75  raven
18:07:11     1002    497190 136379.77      0.00 136967644 136532632  51.79  raven
18:09:11     1002    497190 136951.98      0.00 137688464 137182528  52.04  raven
18:11:11     1002    497190 130971.42      0.00 138614816 137857956  52.29  raven
18:13:11     1002    497190 136624.98      0.00 137991824 137382864  52.11  raven
18:15:11     1002    497190 155287.74      0.00 137524696 137138232  52.02  raven
18:17:11     1002    497190 137314.88      0.00 137590232 137277660  52.07  raven
18:19:11     1002    497190 139658.02      0.00 137917912 137518364  52.16  raven
18:21:11     1002    497190 122880.13      0.00 137983448 137613648  52.20  raven
18:23:11     1002    497190 118903.86      0.00 138048984 137713188  52.24  raven
18:25:11     1002    497190  29965.23      0.00 139586128 138819188  52.66  raven
18:27:11     1002    497190 137352.85      0.00 138573276 138119368  52.39  raven
18:29:11     1002    497190 149538.60      0.00 138458960 138112564  52.39  raven
18:31:11     1002    497190 113734.07      0.00 138376664 138040844  52.36  raven
18:33:11     1002    497190 151280.13      0.00 138704344 138299796  52.46  raven
18:35:11     1002    497190 141480.76      0.00 138933728 138522788  52.54  raven
18:37:11     1002    497190 156505.77      0.00 139564232 139003452  52.73  raven
18:39:11     1002    497190 132295.34      0.00 139458020 138958288  52.71  raven
18:41:11     1002    497190 140764.62      0.00 139621856 139132716  52.78  raven
18:43:11     1002    497190 115333.35      0.00 140129260 139573592  52.94  raven
18:45:11     1002    497190 112046.07      0.00 139654620 139301548  52.84  raven
18:47:11     1002    497190  72954.19      0.00 139883992 139310088  52.84  raven
18:49:11     1002    497190 100663.38      0.00 140018016 139545172  52.93  raven
18:51:11     1002    497190 142459.55      0.00 140015064 139545964  52.93  raven
18:53:11     1002    497190 127744.05      0.00 140015064 139618652  52.96  raven
18:55:11     1002    497190 135311.73      0.00 140431040 139984268  53.10  raven
