contig	length	mean.cov	median.cov	gc	uniq.kmer	Ns	n.ratio
Utg634806	39026300	54.36713979	54	39.95	0.980954454	20892696	0.535349136
Utg634722	32965446	55.47980318	55	42.09	0.983228708	17721745	0.537585477
Utg634692	23722762	52.70064311	54	39.49	0.980900547	12998075	0.547915753
Utg634672	22296604	55.00183012	55	41.42	0.980590473	12326276	0.552831992
Utg634646	22253562	54.04745564	54	38.89	0.981084337	12799631	0.575172235
Utg634766	21829225	53.17300198	55	40.59	0.982461704	12564959	0.575602615
Utg634774	21195092	54.74688007	54	40.66	0.984009445	11113794	0.52435696
Utg634826	21194740	54.98883373	55	44.97	0.987994829	10224031	0.482385299
Utg634696	20544937	55.78820124	55	41.9	0.983261998	11132563	0.541864061
Utg634994	18277966	56.46973378	56	46.69	0.985767842	10392980	0.568607032
Utg634896	17843741	56.31316282	56	45.44	0.987575825	9594027	0.537669035
Utg634842	17672335	54.41781023	54	41.77	0.987452539	7950914	0.449907383
Utg634662	17527135	55.05468537	54	39.58	0.979218496	9077735	0.517924635
Utg634642	17271236	55.69246287	55	42.67	0.987045588	8195250	0.474502809
Utg634668	17256258	57.70108299	56	47.44	0.982964068	9703498	0.562317624
Utg634566	17046619	54.70337728	54	42.04	0.983434356	9184664	0.538796814
Utg635112	16848821	53.69314879	53	38.35	0.981153989	9409175	0.558447087
Utg634732	16248375	55.6540435	55	48.66	0.983109494	8013552	0.493190981
Utg634816	16232544	55.2259475	55	38.42	0.985931396	8330922	0.513223436
Utg634724	16050936	53.17782627	53	37.13	0.981953075	8468768	0.527618327
Utg634614	15790052	54.40782458	54	40.08	0.983002284	8424493	0.533531682
Utg635136	15774172	56.31596848	56	49.08	0.988317315	7741977	0.490800848
Utg634558	15459157	56.82647868	57	47.03	0.983928217	7495827	0.484879415
Utg634534	15209197	55.95465166	56	42.33	0.983725522	8195046	0.538821741
Utg634542	15100729	54.84277572	55	40.98	0.982658586	8471826	0.561020994
Utg635306	14807412	55.07008368	55	40.27	0.985925757	7842567	0.529637927
Utg635060	14672999	53.48055927	53	39.77	0.983945054	8048942	0.548554662
Utg634624	14601993	53.26426311	53	37.45	0.982429184	7589785	0.519777335
Utg634710	14438406	55.30420188	55	45.71	0.984776933	7133704	0.494078363
Utg634526	14364035	55.67740175	55	50.24	0.98739887	6868327	0.478161394
Utg634590	13936439	53.34950994	53	41.17	0.985800776	7858777	0.563901367
Utg635120	13886388	54.88088321	55	39.82	0.981619968	7360746	0.530069158
Utg634524	13809189	55.66981912	55	42.37	0.988442259	7168265	0.519093844
Utg635048	13671307	54.29314805	54	40.31	0.984687902	6976656	0.510313754
Utg634580	13639612	53.77491833	54	39.19	0.985707181	6988314	0.51235431
Utg634620	13251339	52.7072648	52	37.96	0.980670534	7279739	0.549358748
Utg634690	13077613	54.81269766	55	39.61	0.98245241	7194380	0.550129446
Utg634598	13054090	52.54546116	52	37.03	0.981519309	6761800	0.517983253
Utg634622	12990837	54.59891962	54	39.87	0.981677436	7077486	0.544806004
Utg634538	12888135	55.2878696	52	42.84	0.981893894	6348768	0.492605641
Utg634782	12597430	56.07831064	56	50.75	0.989016263	6230612	0.494593897
Utg634796	12498831	66.05472503	56	41.93	0.981553225	6623546	0.529933239
Utg634632	12315476	54.02745951	54	41	0.986476237	5837245	0.473976402
Utg634570	12254658	54.36443535	55	41.03	0.980191178	6792520	0.554280666
Utg635150	12093881	55.67519916	55	42.43	0.984723375	6238139	0.515809524
Utg635088	11977784	53.31723008	53	39.52	0.985931644	5972433	0.498625873
Utg634768	11894687	52.86027091	53	37.52	0.981994701	6228942	0.523674309
Utg634778	11856720	54.79229272	54	42.21	0.982526259	6127548	0.516799587
Utg634596	11684138	53.84682673	54	38.83	0.982233407	6250753	0.534977677
Utg635202	11469410	55.88408107	56	45.38	0.985319666	6325264	0.55148992
Utg634824	11452813	56.30073223	56	45.17	0.986258304	6182308	0.539806945
Utg634916	11014572	54.25291171	54	39.07	0.982882993	5642077	0.512237516
Utg635074	10985544	56.83441678	57	43.72	0.982885215	5619647	0.511549269
Utg634746	10976123	53.833963	53	37.69	0.981583026	5928095	0.540090066
Utg635036	10942311	57.77888576	57	49.43	0.988036112	4892865	0.447150972
Utg634740	10736493	53.33987361	53	38.34	0.98055572	6338629	0.590381701
Utg634584	10575693	56.61393873	56	46.09	0.983650599	5818050	0.550134161
Utg634960	10402053	52.21721824	52	40.67	0.97987599	6133393	0.589632931
Utg635020	10301315	55.30704245	55	43.26	0.98523328	5410541	0.525228187
Utg635440	10176196	56.43754226	56	42.7	0.980769896	5835239	0.573420461
Utg635314	10171395	55.66107851	56	43.71	0.987249725	5146435	0.505971403
Utg634862	10014508	54.72979291	55	42.55	0.983638542	5388197	0.538039113
Utg635068	9914663	56.0866797	56	44.93	0.985587352	5801850	0.58517874
Utg634934	9892198	52.65579484	52	38.32	0.982897607	5215418	0.527225395
Utg634636	9875268	54.10350496	54	39.74	0.980849329	5364293	0.543204802
Utg634520	9854501	49.66778467	49	35.2	0.982442726	5033422	0.510773909
Utg635046	9694491	54.856179	55	41.34	0.977042289	5421030	0.559186656
Utg634874	9669340	54.59894866	54	43.5	0.986322011	5314352	0.549608557
Utg634750	9657727	53.07359435	53	38.33	0.982645623	5254867	0.54411012
