sample	chromosome	file_name	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	phased_fraction	phased_snvs_fraction	block_n50	contig_size
SAMPLE	Utg637368	no-zero-phased.vcf	466	359	21	0	1	359	359	359	359	359	72436	72436	72436	72436	72436	380	376	355	0.944736842	0.944148936	72436	73626
SAMPLE	Utg634804	no-zero-phased.vcf	6231	5359	6	0	2	2679.5	2679.5	38	5321	5359	777274.5	777274.5	8218	1546331	1554549	5365	4451	4447	0.99888164	0.999101326	1546331	1564233
SAMPLE	Utg635158	no-zero-phased.vcf	14308	13922	25	0	1	13922	13922	13922	13922	13922	6844253	6844253	6844253	6844253	6844253	13947	11472	11460	0.9982075	0.998953975	6844253	6845537
SAMPLE	Utg634866	no-zero-phased.vcf	17252	17049	24	0	2	8524.5	8524.5	7345	9704	17049	3236202.5	3236202.5	2978534	3493871	6472405	17073	14375	14367	0.998594272	0.999443478	3493871	6487292
SAMPLE	Utg635746	no-zero-phased.vcf	4299	3942	161	0	3	230	1314	145	3567	3942	25295	393428.3333	14464	1140526	1180285	4103	3530	3378	0.960760419	0.95694051	1140526	1249025
SAMPLE	Utg634556	no-zero-phased.vcf	11675	11188	30	0	3	4994	3729.333333	3	6191	11188	2608398	1857875.333	7902	2957326	5573626	11218	9184	9170	0.997325727	0.99847561	2957326	5627521
SAMPLE	Utg635112	no-zero-phased.vcf	38452	37890	44	0	1	37890	37890	37890	37890	37890	16837441	16837441	16837441	16837441	16837441	37934	31569	31557	0.998840091	0.99961988	16837441	16848821
SAMPLE	Utg635462	no-zero-phased.vcf	2554	2529	4	0	1	2529	2529	2529	2529	2529	1145864	1145864	1145864	1145864	1145864	2533	2084	2082	0.998420845	0.999040307	1145864	1150588
SAMPLE	Utg635590	no-zero-phased.vcf	11248	10672	22	0	1	10672	10672	10672	10672	10672	4122667	4122667	4122667	4122667	4122667	10694	8548	8537	0.997942772	0.998713149	4122667	4127596
SAMPLE	Utg635978	no-zero-phased.vcf	174	27	0	0	1	27	27	27	27	27	54717	54717	54717	54717	54717	27	27	27	1	1	54717	62454
SAMPLE	Utg635214	no-zero-phased.vcf	511	483	3	0	1	483	483	483	483	483	268036	268036	268036	268036	268036	486	392	391	0.99382716	0.99744898	268036	272280
SAMPLE	Utg637238	no-zero-phased.vcf	499	315	0	0	2	157.5	157.5	138	177	315	40336.5	40336.5	33167	47506	80673	315	311	311	1	1	33167	123837
SAMPLE	Utg635172	no-zero-phased.vcf	9681	9106	16	0	1	9106	9106	9106	9106	9106	4182351	4182351	4182351	4182351	4182351	9122	7325	7316	0.998245999	0.998771331	4182351	4187104
SAMPLE	Utg635334	no-zero-phased.vcf	10781	10598	22	0	1	10598	10598	10598	10598	10598	5182714	5182714	5182714	5182714	5182714	10620	8916	8911	0.997928437	0.99943921	5182714	5183456
SAMPLE	Utg635330	no-zero-phased.vcf	2263	1148	183	0	7	145	164	8	416	1148	12149	16499.28571	1477	36709	115495	1331	1188	1026	0.862509391	0.863636364	0	237582
SAMPLE	Utg635120	no-zero-phased.vcf	31644	31214	47	0	1	31214	31214	31214	31214	31214	13883119	13883119	13883119	13883119	13883119	31261	26189	26172	0.998496529	0.999350873	13883119	13886388
SAMPLE	Utg634802	no-zero-phased.vcf	4598	4516	7	0	1	4516	4516	4516	4516	4516	2326864	2326864	2326864	2326864	2326864	4523	3777	3774	0.998452355	0.999205719	2326864	2336071
SAMPLE	Utg635152	no-zero-phased.vcf	4666	4555	11	0	1	4555	4555	4555	4555	4555	2164768	2164768	2164768	2164768	2164768	4566	3859	3854	0.997590889	0.998704328	2164768	2169483
SAMPLE	Utg635872	no-zero-phased.vcf	8013	7949	11	0	1	7949	7949	7949	7949	7949	3008988	3008988	3008988	3008988	3008988	7960	6745	6744	0.99861809	0.999851742	3008988	3020942
SAMPLE	Utg635366	no-zero-phased.vcf	1426	1300	2	0	1	1300	1300	1300	1300	1300	260055	260055	260055	260055	260055	1302	1130	1130	0.998463902	1	260055	261367
SAMPLE	Utg635824	no-zero-phased.vcf	3839	3784	4	0	1	3784	3784	3784	3784	3784	1554429	1554429	1554429	1554429	1554429	3788	3099	3099	0.998944034	1	1554429	1557911
SAMPLE	Utg636164	no-zero-phased.vcf	3811	2008	54	0	4	329	502	84	1266	2008	35024.5	79325	13385	233866	317300	2062	1575	1533	0.973811833	0.973333333	233866	336019
SAMPLE	Utg635834	no-zero-phased.vcf	8539	8330	17	0	1	8330	8330	8330	8330	8330	3460109	3460109	3460109	3460109	3460109	8347	6915	6909	0.99796334	0.999132321	3460109	3465144
SAMPLE	Utg636750	no-zero-phased.vcf	1558	1253	96	0	2	626.5	626.5	322	931	1253	79592.5	79592.5	75894	83291	159185	1349	935	886	0.928836175	0.947593583	75894	206291
SAMPLE	Utg637036	no-zero-phased.vcf	935	824	52	0	2	412	412	185	639	824	106873	106873	35669	178077	213746	876	848	798	0.940639269	0.941037736	178077	217648
SAMPLE	Utg635076	no-zero-phased.vcf	13660	13446	20	0	1	13446	13446	13446	13446	13446	6609283	6609283	6609283	6609283	6609283	13466	11153	11149	0.998514778	0.999641352	6609283	6610962
SAMPLE	Utg634860	no-zero-phased.vcf	1832	1674	8	0	1	1674	1674	1674	1674	1674	787146	787146	787146	787146	787146	1682	1297	1290	0.995243757	0.99460293	787146	788499
SAMPLE	Utg634736	no-zero-phased.vcf	1787	1503	5	0	1	1503	1503	1503	1503	1503	557834	557834	557834	557834	557834	1508	1282	1280	0.99668435	0.998439938	557834	568261
SAMPLE	Utg636988	no-zero-phased.vcf	1251	1065	63	0	2	532.5	532.5	508	557	1065	107822	107822	66387	149257	215644	1128	1102	1040	0.944148936	0.943738657	149257	234830
SAMPLE	Utg635388	no-zero-phased.vcf	1288	474	290	0	4	65.5	118.5	11	332	474	13378	18975.75	2624	46523	75903	764	713	440	0.620418848	0.617110799	23746	111130
SAMPLE	Utg634574	no-zero-phased.vcf	25168	24769	45	0	1	24769	24769	24769	24769	24769	9545430	9545430	9545430	9545430	9545430	24814	20867	20851	0.998186508	0.999233239	9545430	9549097
SAMPLE	Utg636108	no-zero-phased.vcf	2697	1807	406	0	7	205	258.1428571	23	592	1807	13870	50611.85714	2816	145731	354283	2213	2035	1663	0.816538635	0.817199017	144499	381542
SAMPLE	Utg638064	no-zero-phased.vcf	635	501	38	0	1	501	501	501	501	501	109265	109265	109265	109265	109265	539	520	484	0.929499072	0.930769231	109265	120237
SAMPLE	Utg635224	no-zero-phased.vcf	14434	14219	7	0	1	14219	14219	14219	14219	14219	4276737	4276737	4276737	4276737	4276737	14226	11759	11757	0.999507943	0.999829918	4276737	4289048
SAMPLE	Utg635164	no-zero-phased.vcf	13502	12987	15	0	1	12987	12987	12987	12987	12987	6160909	6160909	6160909	6160909	6160909	13002	10754	10749	0.998846331	0.999535057	6160909	6169216
SAMPLE	Utg634558	no-zero-phased.vcf	36161	35440	55	0	1	35440	35440	35440	35440	35440	15458257	15458257	15458257	15458257	15458257	35495	30059	30042	0.998450486	0.999434446	15458257	15459157
SAMPLE	Utg635580	no-zero-phased.vcf	685	633	7	0	36	7.5	17.58333333	2	308	633	31502.5	53964.91667	2479	184853	1942737	640	283	283	0.9890625	1	33810	3093887
SAMPLE	Utg634934	no-zero-phased.vcf	24805	24052	41	0	1	24052	24052	24052	24052	24052	9891852	9891852	9891852	9891852	9891852	24093	19900	19888	0.998298261	0.999396985	9891852	9892198
SAMPLE	Utg635988	no-zero-phased.vcf	5612	2866	1914	0	6	329.5	477.6666667	127	1422	2866	46622	44331.33333	12503	68303	265988	4780	4446	2657	0.59958159	0.597615834	23838	467455
SAMPLE	Utg637728	no-zero-phased.vcf	709	621	14	0	1	621	621	621	621	621	128565	128565	128565	128565	128565	635	619	606	0.977952756	0.978998384	128565	129680
SAMPLE	Utg634628	no-zero-phased.vcf	1585	916	235	0	12	63	76.33333333	2	292	916	3153	7338.166667	78	28838	88058	1151	1053	836	0.795829713	0.793922127	0	325171
SAMPLE	Utg635286	no-zero-phased.vcf	6531	6429	13	0	1	6429	6429	6429	6429	6429	2838261	2838261	2838261	2838261	2838261	6442	5255	5251	0.997981993	0.99923882	2838261	2840011
SAMPLE	Utg634600	no-zero-phased.vcf	3222	2359	122	0	2	1179.5	1179.5	1111	1248	2359	454976	454976	352463	557489	909952	2481	1893	1874	0.95082628	0.989963022	557489	1015685
SAMPLE	Utg637320	no-zero-phased.vcf	1535	1136	205	0	5	171	227.2	37	460	1136	36534	30875.6	4846	57812	154378	1341	1300	1106	0.847129008	0.850769231	39137	192881
SAMPLE	Utg634640	no-zero-phased.vcf	8747	8643	11	0	1	8643	8643	8643	8643	8643	4020350	4020350	4020350	4020350	4020350	8654	7093	7090	0.998728911	0.999577048	4020350	4023097
SAMPLE	Utg634538	no-zero-phased.vcf	40393	38118	65	0	2	19059	19059	111	38007	38118	6415182.5	6415182.5	21464	12808901	12830365	38183	31653	31617	0.998297672	0.998862667	12808901	12888135
SAMPLE	Utg635170	no-zero-phased.vcf	3143	3098	2	0	1	3098	3098	3098	3098	3098	1382122	1382122	1382122	1382122	1382122	3100	2625	2624	0.999354839	0.999619048	1382122	1389308
SAMPLE	Utg634790	no-zero-phased.vcf	3732	2589	4	0	1	2589	2589	2589	2589	2589	1062461	1062461	1062461	1062461	1062461	2593	2186	2184	0.998457385	0.999085087	1062461	1065750
SAMPLE	Utg634606	no-zero-phased.vcf	6135	5964	7	0	1	5964	5964	5964	5964	5964	2479145	2479145	2479145	2479145	2479145	5971	4990	4989	0.998827667	0.999799599	2479145	2492389
SAMPLE	Utg635312	no-zero-phased.vcf	5964	5733	2	0	1	5733	5733	5733	5733	5733	1885511	1885511	1885511	1885511	1885511	5735	4822	4821	0.999651264	0.999792617	1885511	1890051
SAMPLE	Utg635802	no-zero-phased.vcf	3348	2720	475	0	8	212.5	340	51	1304	2720	36447.5	48012.75	6962	164940	384102	3195	3143	2672	0.851330203	0.850143175	47516	430690
SAMPLE	Utg636870	no-zero-phased.vcf	1248	1164	3	0	1	1164	1164	1164	1164	1164	598290	598290	598290	598290	598290	1167	975	973	0.997429306	0.997948718	598290	608358
SAMPLE	Utg635384	no-zero-phased.vcf	10089	9941	17	0	1	9941	9941	9941	9941	9941	4361036	4361036	4361036	4361036	4361036	9958	8204	8202	0.99829283	0.999756216	4361036	4392079
SAMPLE	Utg634560	no-zero-phased.vcf	967	923	7	0	38	10	24.28947368	2	431	923	52548	83431.71053	3495	280284	3170405	930	402	402	0.992473118	1	101571	4355285
SAMPLE	Utg634986	no-zero-phased.vcf	11222	11010	17	0	1	11010	11010	11010	11010	11010	4278931	4278931	4278931	4278931	4278931	11027	8975	8967	0.99845833	0.999108635	4278931	4280647
SAMPLE	Utg637296	no-zero-phased.vcf	128	77	1	0	1	77	77	77	77	77	33672	33672	33672	33672	33672	78	60	60	0.987179487	1	33672	34793
SAMPLE	Utg634632	no-zero-phased.vcf	33193	31439	50	0	2	15719.5	15719.5	2502	28937	31439	6154696.5	6154696.5	1098950	11210443	12309393	31489	26175	26153	0.998412144	0.999159503	11210443	12315476
SAMPLE	Utg635030	no-zero-phased.vcf	7103	6322	17	0	1	6322	6322	6322	6322	6322	1949176	1949176	1949176	1949176	1949176	6339	5342	5332	0.997318189	0.998128042	1949176	1954592
SAMPLE	Utg635846	no-zero-phased.vcf	3275	2628	46	0	1	2628	2628	2628	2628	2628	806649	806649	806649	806649	806649	2674	2324	2286	0.982797307	0.983648881	806649	807261
SAMPLE	Utg635100	no-zero-phased.vcf	167	94	2	0	6	9	15.66666667	2	55	94	22240.5	46398.66667	4221	149118	278392	96	31	31	0.979166667	1	25419	449729
SAMPLE	Utg637704	no-zero-phased.vcf	280	206	2	0	1	206	206	206	206	206	41571	41571	41571	41571	41571	208	205	203	0.990384615	0.990243902	41571	50797
SAMPLE	Utg636958	no-zero-phased.vcf	1047	442	290	0	3	70	147.3333333	51	321	442	38756	33134.66667	6919	53729	99404	732	715	432	0.603825137	0.604195804	38756	149761
SAMPLE	Utg634758	no-zero-phased.vcf	9594	9170	27	0	2	4585	4585	1109	8061	9170	2048039.5	2048039.5	370758	3725321	4096079	9197	7407	7391	0.99706426	0.997839881	3725321	4147205
SAMPLE	Utg637410	no-zero-phased.vcf	2004	1678	75	0	2	839	839	647	1031	1678	144637.5	144637.5	51318	237957	289275	1753	1729	1654	0.957216201	0.956622325	237957	328853
SAMPLE	Utg634610	no-zero-phased.vcf	1093	988	7	0	71	9	13.91549296	2	93	988	53695	77575.90141	1186	325485	5507889	995	120	120	0.992964824	1	73696	7872859
SAMPLE	Utg634870	no-zero-phased.vcf	518	485	3	0	30	12	16.16666667	2	73	485	47301	79364.36667	947	394390	2380931	488	86	86	0.993852459	1	102929	3228627
SAMPLE	Utg637144	no-zero-phased.vcf	692	478	163	0	3	56	159.3333333	23	399	478	5249	27919.33333	4711	73798	83758	641	628	468	0.745709828	0.74522293	73798	126655
SAMPLE	Utg635758	no-zero-phased.vcf	1539	1408	3	0	1	1408	1408	1408	1408	1408	660394	660394	660394	660394	660394	1411	1079	1079	0.997873848	1	660394	661616
SAMPLE	Utg634666	no-zero-phased.vcf	20703	20350	35	0	1	20350	20350	20350	20350	20350	9432047	9432047	9432047	9432047	9432047	20385	16947	16938	0.998283051	0.999468933	9432047	9434171
SAMPLE	Utg634766	no-zero-phased.vcf	43704	43075	82	0	21	8	2051.190476	2	42903	43075	49104	994291.7143	3911	19796448	20880126	43157	35705	35686	0.998099961	0.999467862	19796448	21829225
SAMPLE	Utg637054	no-zero-phased.vcf	2965	1971	617	0	10	81	197.1	16	823	1971	16084	33221.4	2493	188864	332214	2588	2509	1915	0.761591963	0.763252292	32622	430785
SAMPLE	Utg636790	no-zero-phased.vcf	1910	1354	301	0	4	273.5	338.5	236	571	1354	56085	74444	32888	152718	297776	1655	1595	1313	0.818126888	0.823197492	65720	326079
SAMPLE	Utg635994	no-zero-phased.vcf	1931	1363	153	0	3	407	454.3333333	351	605	1363	57401	72118.33333	51354	107600	216355	1516	1418	1293	0.899076517	0.911847673	57401	223825
SAMPLE	Utg636184	no-zero-phased.vcf	719	612	2	0	1	612	612	612	612	612	218197	218197	218197	218197	218197	614	523	521	0.996742671	0.996175908	218197	221873
