contig	length	mean.cov	median.cov	gc	uniq.kmer
Utg634806	39026300	54.38956561	54	39.95	0.980954454
Utg634722	32965446	55.65682692	55	42.09	0.983228708
Utg634692	23722762	52.70449866	54	39.49	0.980900547
Utg634672	22296604	56.43663918	55	41.42	0.980590473
Utg634646	22253562	54.0858762	54	38.89	0.981084337
Utg634766	21829225	53.31662828	55	40.59	0.982461704
Utg634774	21195092	54.82642925	55	40.66	0.984009445
Utg634826	21194740	55.03748638	55	44.97	0.987994829
Utg634696	20544937	55.80865747	55	41.9	0.983261998
Utg634994	18277966	56.50648208	56	46.69	0.985767842
Utg634896	17843741	56.49137827	56	45.44	0.987575825
Utg634842	17672335	54.42090658	54	41.77	0.987452539
Utg634662	17527135	54.97788648	54	39.58	0.979218496
Utg634642	17271236	55.73450645	55	42.67	0.987045588
Utg634668	17256258	62.87211561	56	47.44	0.982964068
Utg634566	17046619	54.74140895	54	42.04	0.983434356
Utg635112	16848821	53.68710407	53	38.35	0.981153989
Utg634732	16248375	55.76601626	55	48.66	0.983109494
Utg634816	16232544	55.26457485	55	38.42	0.985931396
Utg634724	16050936	53.25892804	53	37.13	0.981953075
Utg634614	15790052	54.40832557	54	40.08	0.983002284
Utg635136	15774172	56.42115356	56	49.08	0.988317315
Utg634558	15459157	56.90266308	57	47.03	0.983928217
Utg634534	15209197	56.01444049	56	42.33	0.983725522
Utg634542	15100729	54.92299254	55	40.98	0.982658586
Utg635306	14807412	55.09307853	55	40.27	0.985925757
Utg635060	14672999	53.51685978	53	39.77	0.983945054
Utg634624	14601993	53.42768649	53	37.45	0.982429184
Utg634710	14438406	55.38878042	55	45.71	0.984776933
Utg634526	14364035	55.73646018	55	50.24	0.98739887
Utg634590	13936439	53.43137557	53	41.17	0.985800776
Utg635120	13886388	54.92830819	55	39.82	0.981619968
Utg634524	13809189	55.68212542	55	42.37	0.988442259
Utg635048	13671307	54.55798195	54	40.31	0.984687902
Utg634580	13639612	53.75575852	54	39.19	0.985707181
Utg634620	13251339	52.80875464	52	37.96	0.980670534
Utg634690	13077613	54.80421087	55	39.61	0.98245241
Utg634598	13054090	52.76439514	52	37.03	0.981519309
Utg634622	12990837	54.63685122	54	39.87	0.981677436
Utg634538	12888135	59.08099809	52	42.84	0.981893894
Utg634782	12597430	56.16649927	56	50.75	0.989016263
Utg634796	12498831	63.19318095	56	41.93	0.981553225
Utg634632	12315476	53.9807097	54	41	0.986476237
Utg634570	12254658	56.72772594	55	41.03	0.980191178
Utg635150	12093881	55.68879594	55	42.43	0.984723375
Utg635088	11977784	53.39244962	53	39.52	0.985931644
Utg634768	11894687	52.99438732	53	37.52	0.981994701
Utg634778	11856720	54.80566222	54	42.21	0.982526259
Utg634596	11684138	53.90795331	54	38.83	0.982233407
Utg635202	11469410	55.91934569	56	45.38	0.985319666
Utg634824	11452813	56.33862599	56	45.17	0.986258304
Utg634916	11014572	54.28191501	54	39.07	0.982882993
Utg635074	10985544	56.90042575	57	43.72	0.982885215
Utg634746	10976123	53.85544516	53	37.69	0.981583026
Utg635036	10942311	57.85311492	57	49.43	0.988036112
Utg634740	10736493	53.39019716	53	38.34	0.98055572
Utg634584	10575693	56.75087743	56	46.09	0.983650599
Utg634960	10402053	52.32426913	52	40.67	0.97987599
Utg635020	10301315	55.28282946	55	43.26	0.98523328
Utg635440	10176196	56.62512756	56	42.7	0.980769896
Utg635314	10171395	55.89933781	56	43.71	0.987249725
Utg634862	10014508	55.00327637	55	42.55	0.983638542
Utg635068	9914663	56.09882381	56	44.93	0.985587352
Utg634934	9892198	52.77560378	52	38.32	0.982897607
Utg634636	9875268	54.32671855	54	39.74	0.980849329
Utg634520	9854501	49.78574209	50	35.2	0.982442726
Utg635046	9694491	54.97604921	55	41.34	0.977042289
Utg634874	9669340	54.64873371	54	43.5	0.986322011
Utg634750	9657727	53.1408316	53	38.33	0.982645623
Utg634574	9549097	55.44645241	55	42.47	0.986061443
Utg635198	9534452	57.72569339	57	46.19	0.98747144
Utg635196	9507374	53.7117916	53	45.76	0.985412681
Utg634666	9434171	55.59711197	55	39.77	0.983314433
Utg634844	9378186	55.15301485	55	38.82	0.981598172
Utg635262	9301872	55.58981867	55	42.3	0.985958852
