Gene	Status
100009at314145	Single
100013at314145	Single
100025at314145	Single
100029at314145	Single
100035at314145	Single
100039at314145	Single
100043at314145	Single
100048at314145	Single
100055at314145	Single
100065at314145	Single
100067at314145	Single
100069at314145	Single
100070at314145	Single
100074at314145	Single
100080at314145	Single
100083at314145	Single
100099at314145	Single
100109at314145	Single
100113at314145	Single
100123at314145	Single
100126at314145	Single
100135at314145	Single
100144at314145	Single
100154at314145	Single
100155at314145	Single
100164at314145	Single
100168at314145	Duplicated
100168at314145	Duplicated
100176at314145	Single
100181at314145	Single
100185at314145	Single
100190at314145	Single
100211at314145	Single
100212at314145	Single
100223at314145	Single
100232at314145	Duplicated
100232at314145	Duplicated
100234at314145	Single
100238at314145	Single
10023at314145	Single
100250at314145	Single
100257at314145	Single
100270at314145	Single
100275at314145	Single
100280at314145	Single
100285at314145	Single
100291at314145	Single
1002at314145	Single
100301at314145	Single
100323at314145	Single
100335at314145	Single
100338at314145	Single
10033at314145	Single
100341at314145	Single
100346at314145	Single
100352at314145	Single
100362at314145	Single
100364at314145	Single
100369at314145	Single
10036at314145	Single
100370at314145	Single
100378at314145	Single
100393at314145	Duplicated
100393at314145	Duplicated
100393at314145	Duplicated
100395at314145	Single
100415at314145	Single
100421at314145	Single
10042at314145	Single
100442at314145	Single
100447at314145	Single
100449at314145	Single
100463at314145	Single
100467at314145	Single
100472at314145	Single
100479at314145	Single
100482at314145	Single
100484at314145	Single
100486at314145	Single
100488at314145	Single
100492at314145	Single
100509at314145	Single
10050at314145	Single
100513at314145	Single
100518at314145	Single
100529at314145	Single
10054at314145	Single
100551at314145	Single
100561at314145	Single
100565at314145	Single
10057at314145	Single
100587at314145	Single
100589at314145	Single
10058at314145	Single
100592at314145	Single
100602at314145	Single
100646at314145	Single
100652at314145	Single
100657at314145	Single
100670at314145	Single
100684at314145	Single
100689at314145	Single
100704at314145	Single
100725at314145	Single
100736at314145	Single
100746at314145	Single
100753at314145	Single
100776at314145	Single
100799at314145	Single
10079at314145	Single
100805at314145	Single
100806at314145	Single
100807at314145	Single
100808at314145	Single
100809at314145	Single
100818at314145	Single
100822at314145	Single
100833at314145	Single
100836at314145	Single
100841at314145	Single
100858at314145	Single
100860at314145	Single
