Gene	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	Identity	Fraction	Frameshift events	Best gene	Codons
100009at314145	Single	OW443360.1	210336368	210344448	+	1208	186	0.9545	1.0	0	100009at314145_118797_0:000962	210336369_210336383_+|210342527_210342637_+|210343397_210343885_+|210344338_210344451_+
100013at314145	Single	OW443360.1	192398779	192399589	-	1313	208	0.9228	1.0	0	100013at314145_186990_0:001c1b	192398777_192399589_-
100025at314145	Duplicated	OW443367.1	86144146	86151093	-	743	133	0.865	0.657258064516129	0	100025at314145_42254_0:002fa5	86151037_86151093_-|86149201_86149294_-|86148761_86148828_-|86146567_86146685_-|86144144_86144270_-
100025at314145	Duplicated	OW443362.1	36048018	36048480	-	732	133	0.8528	0.657258064516129	0	100025at314145_42254_0:002fa5	36048016_36048480_-
100029at314145	Single	OW443376.1	66338502	66343486	+	701	131	0.9924	0.7333333333333333	0	100029at314145_29078_0:002ec3	66338503_66338716_+|66343305_66343489_+
100035at314145	Single	OW443366.1	70104301	70107927	-	644	140	0.8065	0.9064327485380117	0	100035at314145_9974_0:000a26	70107650_70107927_-|70104302_70104488_-
100039at314145	Single	OW443360.1	36616303	36618922	+	683	159	0.7861	0.9829545454545454	0	100039at314145_132908_0:0045f4	36616304_36616459_+|36616748_36616813_+|36616924_36617076_+|36617743_36617817_+|36618857_36618922_+
100043at314145	Single	OW443360.1	57688343	57696977	+	679	160	0.6966	1.0	0	100043at314145_109478_0:001e1a	57688344_57688502_+|57694358_57694388_+|57696634_57696980_+
100048at314145	Single	OW443360.1	48902181	48924383	+	923	134	0.9944	1.0	0	100048at314145_118797_0:000ccf	48902182_48902207_+|48904641_48904742_+|48905744_48905808_+|48922868_48923034_+|48924204_48924386_+
100055at314145	Single	OW443368.1	7349979	7356065	-	911	142	0.8786	1.0	0	100055at314145_43346_0:00160a	7356001_7356065_-|7352751_7352861_-|7352493_7352655_-|7350851_7351023_-|7349977_7350085_-
100065at314145	Single	OW443379.1	29469127	29472189	-	718	117	0.9722	0.9113924050632911	0	100065at314145_291302_0:002b4a	29471959_29472189_-|29471501_29471664_-|29469125_29469158_-
100067at314145	Single	OW443362.1	58100309	58111782	-	663	157	0.6349	0.949748743718593	0	100067at314145_89399_0:00162d	58111696_58111782_-|58106405_58106557_-|58100792_58100974_-|58100310_58100453_-
100069at314145	Single	OW443380.1	55217337	55224389	+	793	146	0.8063	1.0	0	100069at314145_30538_0:004aa6	55217338_55217434_+|55217651_55217773_+|55222998_55223184_+|55224224_55224389_+
100070at314145	Single	OW443368.1	49802075	49803972	+	626	144	0.712	0.9368421052631579	0	100070at314145_9615_0:0035b0	49802076_49802097_+|49802473_49802679_+|49803334_49803457_+|49803541_49803688_+|49803922_49803972_+
100074at314145	Single	OW443379.1	4819054	4819769	-	878	161	0.9116	0.9282051282051282	0	100074at314145_419612_0:0028d7	4819605_4819769_-|4819052_4819432_-
100080at314145	Single	OW443360.1	182518683	182523271	+	1014	181	0.9852	1.0	0	100080at314145_118797_0:001723	182518684_182518958_+|182520861_182521036_+|182522941_182523063_+|182523237_182523274_+
100083at314145	Single	OW443360.1	167571656	167580626	+	911	181	0.7854	1.0	0	100083at314145_143302_0:001237	167571657_167571677_+|167572181_167572232_+|167574821_167574946_+|167577263_167577400_+|167579151_167579279_+|167580481_167580629_+
100099at314145	Single	OW443362.1	184694642	184701542	+	984	164	0.8774	1.0	0	100099at314145_42254_0:004640	184694643_184694932_+|184701060_184701213_+|184701351_184701545_+
100109at314145	Single	OW443373.1	72331399	72334496	+	1314	207	0.9504	1.0	0	100109at314145_118797_0:001c0d	72331400_72331531_+|72333846_72334499_+
100113at314145	Single	OW443363.1	68006656	68013237	-	1225	199	0.7943	1.0	0	100113at314145_30538_0:0031be	68013187_68013237_-|68013054_68013095_-|68012466_68012513_-|68011658_68011892_-|68011174_68011221_-|68009285_68009389_-|68008387_68008434_-|68008179_68008288_-|68007509_68007580_-|68006920_68007081_-|68006654_68006683_-
100123at314145	Single	OW443380.1	43258594	43259602	+	928	274	0.6596	1.0	3	100123at314145_34882_0:00437b	43258595_43259085_+|43259165_43259602_+
100126at314145	Single	OW443368.1	1689266	1702929	+	917	191	0.7625	1.0	0	100126at314145_73337_0:004426	1689267_1689332_+|1690025_1690139_+|1690955_1691052_+|1694553_1694627_+|1700288_1700389_+|1700898_1700984_+|1702493_1702576_+|1702858_1702932_+
100135at314145	Single	OW443380.1	19714057	19737388	+	1032	214	0.8618	0.791970802919708	0	100135at314145_42254_0:000234	19714058_19714096_+|19718442_19718516_+|19720878_19720931_+|19723487_19723576_+|19725805_19725878_+|19733033_19733121_+|19733695_19733774_+|19736113_19736193_+|19737320_19737388_+
100144at314145	Single	OW443370.1	100205845	100221304	+	884	110	0.977	1.0	0	100144at314145_118797_0:003a5b	100205846_100205932_+|100209470_100209670_+|100215637_100215732_+|100221167_100221307_+
100154at314145	Single	OW443367.1	117833733	117879324	+	979	148	0.9892	1.0	0	100154at314145_118797_0:0014b3	117833734_117833851_+|117843472_117843501_+|117847559_117847624_+|117861145_117861212_+|117868272_117868342_+|117872046_117872103_+|117873636_117873668_+|117875910_117875972_+|117879277_117879327_+
100155at314145	Single	OW443380.1	19275529	19333185	-	885	131	0.9941	1.0	0	100155at314145_9793_0:0003b7	19333075_19333185_-|19328464_19328580_-|19299696_19299812_-|19289526_19289621_-|19275527_19275595_-
100164at314145	Single	OW443361.1	167351565	167356606	-	782	151	0.8105	1.0	0	100164at314145_9407_0:0048dc	167356427_167356606_-|167352198_167352407_-|167351563_167351742_-
100168at314145	Single	OW443363.1	34099578	34193760	+	846	156	0.85	0.9639175257731959	0	100168at314145_9668_0:0038f2	34099579_34099644_+|34102990_34103047_+|34106294_34106442_+|34141667_34141741_+|34144872_34144986_+|34166739_34166783_+|34193669_34193760_+
100176at314145	Single	OW443375.1	39620277	39641998	+	985	147	0.9948	1.0	0	100176at314145_118797_0:001b2a	39620278_39620433_+|39634942_39635052_+|39636009_39636120_+|39636868_39636935_+|39641870_39642001_+
100181at314145	Single	OW443368.1	88385138	88387017	+	828	210	0.6812	1.0	0	100181at314145_42254_0:001070	88385139_88385426_+|88386621_88387020_+
100185at314145	Single	OW443376.1	11589215	11633051	-	599	101	0.8288	0.7019230769230769	0	100185at314145_291302_0:002fd1	11632977_11633051_-|11623745_11623846_-|11617188_11617322_-|11589213_11589335_-
100190at314145	Single	OW443360.1	111730832	111735686	+	1002	159	0.9159	1.0	0	100190at314145_29078_0:001f79	111730833_111731048_+|111731225_111731330_+|111732257_111732399_+|111733603_111733716_+|111735588_111735689_+
100211at314145	Single	OW443362.1	7418681	7419519	+	1177	210	0.878	0.9694656488549618	0	100211at314145_29078_0:003cd4	7418682_7418775_+|7418852_7419519_+
100212at314145	Single	OW443368.1	48548506	48549860	+	1037	206	0.834	1.0	0	100212at314145_132908_0:004675	48548507_48548890_+|48549459_48549863_+
100223at314145	Single	OW443368.1	101714252	101716391	+	864	176	0.7668	0.973568281938326	0	100223at314145_132908_0:002138	101714253_101714319_+|101715799_101716391_+
100232at314145	Single	OW443369.1	98644228	98646596	-	694	131	0.9556	0.9782608695652174	0	100232at314145_30538_0:004732	98646473_98646596_-|98644226_98644509_-
100234at314145	Single	OW443380.1	3318327	3324590	-	816	108	0.8619	1.0	0	100234at314145_9940_0:003246	3324518_3324590_-|3320072_3320239_-|3319349_3319480_-|3318325_3318497_-
100238at314145	Fragmented	OW443360.1	195992868	195999592	-	373	101	0.4296	1.0	0	100238at314145_9974_0:000c25	195999500_195999592_-|195998092_195998313_-|195996002_195996226_-|195992869_195993056_-
